Site,mz,time_since_excl,map,mat,treatment,ROS,FL
4CNW,2 (Very Dry),6,460,12.4,F,2.3,0.7
4CSE,2 (Very Dry),15,460,12.4,F,2.1,0.8
4CSW,2 (Very Dry),8,460,12.4,F,2.2,0.5
4CNW,2 (Very Dry),0,460,12.4,U,1.3,0.5
MA,4 (Seasonal Mesic),4,687,16.4,F,48.1,5.4
MA,4 (Seasonal Mesic),0,687,16.4,U,49,4.8
KA,6 (Moderately Wet),5,3140,17.7,F,21.2,4.8
KA,6 (Moderately Wet),0,3140,17.7,U,23,3.3
KC,3 (Moderately Dry),9,1204,9.2,F,25.8,3.7
KC,3 (Moderately Dry),0,1204,9.2,U,25,3
KL,4 (Seasonal Mesic),9,1704,11,F,25.7,3.6
KL,4 (Seasonal Mesic),0,1704,11,U,25.4,3.3
KK,2 (Very Dry),0,524,13.7,U,40.6,4.1
KK,2 (Very Dry),10,524,13.7,F,40.3,4.3
PL,3 (Moderately Dry),6,580,19.8,F,55.5,4.1
PL,3 (Moderately Dry),0,580,19.8,U,57.8,3.1
PN,3 (Moderately Dry),5,766,22,F,35.2,3.7
PN,3 (Moderately Dry),0,766,22,U,36.3,2.8
KO,6 (Moderately Wet),10,3200,18,F,20.6,5.2
KO,6 (Moderately Wet),0,3200,18,U,23,3.3
4CSE,2 (Very Dry),0,460,12.4,U,1.3,0.5
4CSW,2 (Very Dry),0,460,12.4,U,1.3,0.5
