Site,livedead,Weight,treatment,mz,yse,mat
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,F,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KA,DEAD,0,U,6 (Moderately Wet),4,17.7
KK,DEAD,5.744,F,2 (Very Dry),10,13.7
KK,DEAD,0,F,2 (Very Dry),10,13.7
KK,DEAD,0,F,2 (Very Dry),10,13.7
KK,DEAD,0,F,2 (Very Dry),10,13.7
KK,DEAD,0,F,2 (Very Dry),10,13.7
KK,DEAD,0,F,2 (Very Dry),10,13.7
KK,DEAD,0,F,2 (Very Dry),10,13.7
KK,DEAD,0,F,2 (Very Dry),10,13.7
KK,DEAD,0,F,2 (Very Dry),10,13.7
KK,DEAD,0,F,2 (Very Dry),10,13.7
