Site,livedead,Weight,treatment,mz,yse,mat
KA,LIVE,11.92,F,6 (Moderately Wet),0,17.7
KA,LIVE,12.896,F,6 (Moderately Wet),0,17.7
KA,LIVE,16.496,F,6 (Moderately Wet),0,17.7
KA,LIVE,15.52,F,6 (Moderately Wet),0,17.7
KA,LIVE,12.096,F,6 (Moderately Wet),0,17.7
KA,LIVE,21.92,F,6 (Moderately Wet),0,17.7
KA,LIVE,7.296,F,6 (Moderately Wet),0,17.7
KA,LIVE,19.328,F,6 (Moderately Wet),0,17.7
KA,LIVE,14.896,F,6 (Moderately Wet),0,17.7
KA,LIVE,14.832,F,6 (Moderately Wet),0,17.7
KA,LIVE,23.248,F,6 (Moderately Wet),0,17.7
KA,LIVE,13.04,F,6 (Moderately Wet),0,17.7
KA,LIVE,13.504,F,6 (Moderately Wet),0,17.7
KA,LIVE,14.624,F,6 (Moderately Wet),0,17.7
KA,LIVE,15.792,F,6 (Moderately Wet),0,17.7
KA,LIVE,14.112,F,6 (Moderately Wet),0,17.7
KA,LIVE,19.632,F,6 (Moderately Wet),0,17.7
KA,LIVE,9.84,F,6 (Moderately Wet),0,17.7
KA,LIVE,14.576,U,6 (Moderately Wet),4,17.7
KA,LIVE,9.824,U,6 (Moderately Wet),4,17.7
KA,LIVE,3.92,U,6 (Moderately Wet),4,17.7
KA,LIVE,4.656,U,6 (Moderately Wet),4,17.7
KA,LIVE,9.024,U,6 (Moderately Wet),4,17.7
KA,LIVE,2.288,U,6 (Moderately Wet),4,17.7
KA,LIVE,3.504,U,6 (Moderately Wet),4,17.7
KA,LIVE,4.608,U,6 (Moderately Wet),4,17.7
KA,LIVE,1.36,U,6 (Moderately Wet),4,17.7
KA,LIVE,9.936,U,6 (Moderately Wet),4,17.7
KA,LIVE,2.304,U,6 (Moderately Wet),4,17.7
KA,LIVE,9.024,U,6 (Moderately Wet),4,17.7
KA,LIVE,4.512,U,6 (Moderately Wet),4,17.7
KA,LIVE,5.088,U,6 (Moderately Wet),4,17.7
KA,LIVE,8.928,U,6 (Moderately Wet),4,17.7
KA,LIVE,2.784,U,6 (Moderately Wet),4,17.7
KA,LIVE,5.68,U,6 (Moderately Wet),4,17.7
KA,LIVE,13.216,U,6 (Moderately Wet),4,17.7
KA,LIVE,10.88,U,6 (Moderately Wet),4,17.7
KC,LIVE,6.176,F,3 (Moderately Dry),0,11
KC,LIVE,8.384,F,3 (Moderately Dry),0,11
KC,LIVE,11.776,F,3 (Moderately Dry),0,11
KC,LIVE,7.52,F,3 (Moderately Dry),0,11
KC,LIVE,9.776,F,3 (Moderately Dry),0,11
KC,LIVE,6.112,F,3 (Moderately Dry),0,11
KC,LIVE,6.448,F,3 (Moderately Dry),0,11
KC,LIVE,7.104,F,3 (Moderately Dry),0,11
KC,LIVE,9.552,F,3 (Moderately Dry),0,11
KC,LIVE,2.064,F,3 (Moderately Dry),0,11
KC,LIVE,9.168,F,3 (Moderately Dry),0,11
KC,LIVE,4.384,F,3 (Moderately Dry),0,11
KC,LIVE,3.136,F,3 (Moderately Dry),0,11
KC,LIVE,9.152,F,3 (Moderately Dry),0,11
KC,LIVE,7.328,F,3 (Moderately Dry),0,11
KC,LIVE,9.552,F,3 (Moderately Dry),0,11
KC,LIVE,5.776,F,3 (Moderately Dry),0,11
KC,LIVE,7.536,F,3 (Moderately Dry),0,11
KC,LIVE,2.048,U,3 (Moderately Dry),9,11
KC,LIVE,3.056,U,3 (Moderately Dry),9,11
KC,LIVE,1.056,U,3 (Moderately Dry),9,11
KC,LIVE,4.64,U,3 (Moderately Dry),9,11
KC,LIVE,8.096,U,3 (Moderately Dry),9,11
KC,LIVE,10.112,U,3 (Moderately Dry),9,11
KC,LIVE,4.592,U,3 (Moderately Dry),9,11
KC,LIVE,4.864,U,3 (Moderately Dry),9,11
KC,LIVE,2.928,U,3 (Moderately Dry),9,11
KC,LIVE,4.448,U,3 (Moderately Dry),9,11
KC,LIVE,5.152,U,3 (Moderately Dry),9,11
KC,LIVE,7.296,U,3 (Moderately Dry),9,11
KC,LIVE,3.264,U,3 (Moderately Dry),9,11
KC,LIVE,21.296,U,3 (Moderately Dry),9,11
KC,LIVE,1.456,U,3 (Moderately Dry),9,11
KC,LIVE,5.088,U,3 (Moderately Dry),9,11
KC,LIVE,128.256,U,3 (Moderately Dry),9,11
KK,LIVE,0,F,2 (Very Dry),0,13.7
KK,LIVE,0,F,2 (Very Dry),0,13.7
KK,LIVE,0,F,2 (Very Dry),0,13.7
KK,LIVE,0,F,2 (Very Dry),0,13.7
KK,LIVE,0,F,2 (Very Dry),0,13.7
KK,LIVE,0,F,2 (Very Dry),0,13.7
KK,LIVE,0,F,2 (Very Dry),0,13.7
KK,LIVE,0,F,2 (Very Dry),0,13.7
KK,LIVE,0,F,2 (Very Dry),0,13.7
KK,LIVE,0,F,2 (Very Dry),0,13.7
KK,LIVE,0,F,2 (Very Dry),0,13.7
KK,LIVE,0,F,2 (Very Dry),0,13.7
KK,LIVE,0,F,2 (Very Dry),0,13.7
KK,LIVE,8.624,F,2 (Very Dry),0,13.7
KK,LIVE,19.696,F,2 (Very Dry),0,13.7
KK,LIVE,5.056,F,2 (Very Dry),0,13.7
KK,LIVE,0,F,2 (Very Dry),0,13.7
KK,LIVE,9.888,F,2 (Very Dry),0,13.7
