Site,Weight,time_since_excl,mz,map,mat,treatment
KK,0.946467187,0,2 (Very Dry),524,13.7,U
KK,0.288255272,0,2 (Very Dry),524,13.7,U
KK,0.316441023,0,2 (Very Dry),524,13.7,U
KK,0.812220207,10,2 (Very Dry),524,13.7,F
KK,0.384916667,10,2 (Very Dry),524,13.7,F
KK,0.212653601,10,2 (Very Dry),524,13.7,F
4CSW,1.117292878,8,2 (Very Dry),460,12.4,F
4CSW,2.226686198,8,2 (Very Dry),460,12.4,F
4CSW,1.634687978,8,2 (Very Dry),460,12.4,F
4CNW,0.520576349,6,2 (Very Dry),460,12.4,F
4CNW,0.803741425,6,2 (Very Dry),460,12.4,F
4CNW,0.076505649,6,2 (Very Dry),460,12.4,F
4CSE,1.046297418,15,2 (Very Dry),460,12.4,F
4CSE,4.078273356,15,2 (Very Dry),460,12.4,F
4CSE,1.224204146,15,2 (Very Dry),460,12.4,F
4CSW,0.499213234,0,2 (Very Dry),460,12.4,U
4CSW,0.151971743,0,2 (Very Dry),460,12.4,U
4CSW,0.128765886,0,2 (Very Dry),460,12.4,U
4CNW,0.499213234,0,2 (Very Dry),460,12.4,U
4CNW,0.151971743,0,2 (Very Dry),460,12.4,U
4CNW,0.128765886,0,2 (Very Dry),460,12.4,U
4CSE,0.499213234,0,2 (Very Dry),460,12.4,U
4CSE,0.151971743,0,2 (Very Dry),460,12.4,U
4CSE,0.128765886,0,2 (Very Dry),460,12.4,U
PN,1.466535592,5,3 (Moderately Dry),766,22,F
PN,1.425307413,5,3 (Moderately Dry),766,22,F
PN,0.940353573,5,3 (Moderately Dry),766,22,F
PN,0.755872533,0,3 (Moderately Dry),766,22,U
PN,0.471874583,0,3 (Moderately Dry),766,22,U
PN,1.613189334,0,3 (Moderately Dry),766,22,U
