Site,height,treatment,time_since_excl,mz,map,mat
KA,18,U,5,6 (Moderately Wet),3140,17.7
KA,22,U,5,6 (Moderately Wet),3140,17.7
KA,23,U,5,6 (Moderately Wet),3140,17.7
PA,24,F,6,4 (Seasonal Mesic),687,16.4
KA,26,U,5,6 (Moderately Wet),3140,17.7
MA,26,F,4,4 (Seasonal Mesic),687,16.4
KL,27,U,9,4 (Seasonal Mesic),1704,11
MA,28,F,4,4 (Seasonal Mesic),687,16.4
MA,29,U,4,4 (Seasonal Mesic),687,16.4
MU,29,U,10,4 (Seasonal Mesic),687,16.4
PA,29,U,6,4 (Seasonal Mesic),687,16.4
KK,30,U,10,2 (Very Dry),524,13.7
KL,31,F,9,4 (Seasonal Mesic),1704,11
MA,31,U,4,4 (Seasonal Mesic),687,16.4
MA,31,F,4,4 (Seasonal Mesic),687,16.4
MU,31,U,10,4 (Seasonal Mesic),687,16.4
PA,31,U,6,4 (Seasonal Mesic),687,16.4
KC,32,U,9,3 (Moderately Dry),1204,9.2
KL,32,F,9,4 (Seasonal Mesic),1704,11
MA,32,F,4,4 (Seasonal Mesic),687,16.4
KL,34,U,9,4 (Seasonal Mesic),1704,11
MA,34,U,4,4 (Seasonal Mesic),687,16.4
MA,34,F,4,4 (Seasonal Mesic),687,16.4
MU,34,U,10,4 (Seasonal Mesic),687,16.4
PA,34,U,6,4 (Seasonal Mesic),687,16.4
KA,35,U,5,6 (Moderately Wet),3140,17.7
MA,35,U,4,4 (Seasonal Mesic),687,16.4
MA,35,F,4,4 (Seasonal Mesic),687,16.4
MU,35,U,10,4 (Seasonal Mesic),687,16.4
PA,35,U,6,4 (Seasonal Mesic),687,16.4
MA,36,F,4,4 (Seasonal Mesic),687,16.4
KL,37,F,9,4 (Seasonal Mesic),1704,11
MA,37,U,4,4 (Seasonal Mesic),687,16.4
MU,37,U,10,4 (Seasonal Mesic),687,16.4
PA,37,U,6,4 (Seasonal Mesic),687,16.4
MA,38,U,4,4 (Seasonal Mesic),687,16.4
MA,38,F,4,4 (Seasonal Mesic),687,16.4
MU,38,U,10,4 (Seasonal Mesic),687,16.4
PA,38,U,6,4 (Seasonal Mesic),687,16.4
KL,39,F,9,4 (Seasonal Mesic),1704,11
MA,39,U,4,4 (Seasonal Mesic),687,16.4
MU,39,U,10,4 (Seasonal Mesic),687,16.4
PA,39,U,6,4 (Seasonal Mesic),687,16.4
KL,40,U,9,4 (Seasonal Mesic),1704,11
MA,40,F,4,4 (Seasonal Mesic),687,16.4
MA,41,U,4,4 (Seasonal Mesic),687,16.4
MU,41,U,10,4 (Seasonal Mesic),687,16.4
PA,41,U,6,4 (Seasonal Mesic),687,16.4
MA,42,F,4,4 (Seasonal Mesic),687,16.4
MA,43,U,4,4 (Seasonal Mesic),687,16.4
MA,43,F,4,4 (Seasonal Mesic),687,16.4
MA,43,F,4,4 (Seasonal Mesic),687,16.4
MU,43,U,10,4 (Seasonal Mesic),687,16.4
MU,43,F,10,4 (Seasonal Mesic),687,16.4
PA,43,U,6,4 (Seasonal Mesic),687,16.4
PA,43,F,6,4 (Seasonal Mesic),687,16.4
KA,44,U,5,6 (Moderately Wet),3140,17.7
MA,44,F,4,4 (Seasonal Mesic),687,16.4
KA,45,U,5,6 (Moderately Wet),3140,17.7
MA,45,U,4,4 (Seasonal Mesic),687,16.4
MU,45,U,10,4 (Seasonal Mesic),687,16.4
PA,45,U,6,4 (Seasonal Mesic),687,16.4
KC,46,U,9,3 (Moderately Dry),1204,9.2
MA,46,U,4,4 (Seasonal Mesic),687,16.4
MA,46,U,4,4 (Seasonal Mesic),687,16.4
MU,46,U,10,4 (Seasonal Mesic),687,16.4
MU,46,U,10,4 (Seasonal Mesic),687,16.4
PA,46,U,6,4 (Seasonal Mesic),687,16.4
PA,46,U,6,4 (Seasonal Mesic),687,16.4
PA,46,F,6,4 (Seasonal Mesic),687,16.4
KL,47,F,9,4 (Seasonal Mesic),1704,11
MA,47,U,4,4 (Seasonal Mesic),687,16.4
MU,47,U,10,4 (Seasonal Mesic),687,16.4
PA,47,U,6,4 (Seasonal Mesic),687,16.4
PA,48,F,6,4 (Seasonal Mesic),687,16.4
KO,48,F,10,6 (Moderately Wet),3200,18
KC,49,U,9,3 (Moderately Dry),1204,9.2
KC,50,U,9,3 (Moderately Dry),1204,9.2
KL,50,F,9,4 (Seasonal Mesic),1704,11
MU,50,F,10,4 (Seasonal Mesic),687,16.4
KC,52,U,9,3 (Moderately Dry),1204,9.2
MA,52,F,4,4 (Seasonal Mesic),687,16.4
KC,53,U,9,3 (Moderately Dry),1204,9.2
KA,54,U,5,6 (Moderately Wet),3140,17.7
KA,55,U,5,6 (Moderately Wet),3140,17.7
MA,55,U,4,4 (Seasonal Mesic),687,16.4
MA,55,F,4,4 (Seasonal Mesic),687,16.4
MU,55,U,10,4 (Seasonal Mesic),687,16.4
PA,55,U,6,4 (Seasonal Mesic),687,16.4
PA,55,F,6,4 (Seasonal Mesic),687,16.4
